time,open,high,low,close,tick_volume,spread,real_volume
2026-02-13 17:36:00,1.18646,1.1865700000000001,1.18644,1.18651,60,0,0
2026-02-13 17:37:00,1.18651,1.18659,1.18611,1.1862,89,0,0
2026-02-13 17:38:00,1.18621,1.18636,1.18618,1.18624,67,0,0
2026-02-13 17:39:00,1.1862300000000001,1.18628,1.18616,1.18624,82,0,0
2026-02-13 17:40:00,1.18624,1.18626,1.18619,1.18622,77,0,0
2026-02-13 17:41:00,1.18622,1.18646,1.18621,1.18636,82,0,0
2026-02-13 17:42:00,1.18634,1.18636,1.18611,1.18616,80,0,0
2026-02-13 17:43:00,1.18616,1.18632,1.18611,1.18616,65,0,0
2026-02-13 17:44:00,1.18616,1.18624,1.18614,1.18615,76,0,0
2026-02-13 17:45:00,1.18615,1.18619,1.18603,1.18607,77,0,0
2026-02-13 17:46:00,1.18606,1.18614,1.1859899999999999,1.18605,112,0,0
2026-02-13 17:47:00,1.18605,1.18606,1.18571,1.18575,82,0,0
2026-02-13 17:48:00,1.18575,1.18576,1.18565,1.18568,81,0,0
2026-02-13 17:49:00,1.18568,1.18579,1.18565,1.1857,62,0,0
2026-02-13 17:50:00,1.1857,1.18574,1.18556,1.18556,62,0,0
2026-02-13 17:51:00,1.18556,1.18606,1.18555,1.186,95,0,0
2026-02-13 17:52:00,1.186,1.186,1.18584,1.18587,76,0,0
2026-02-13 17:53:00,1.18586,1.18604,1.18585,1.18591,96,0,0
2026-02-13 17:54:00,1.18591,1.18611,1.1859,1.18601,85,0,0
2026-02-13 17:55:00,1.18601,1.18605,1.18551,1.18555,123,0,0
2026-02-13 17:56:00,1.18559,1.1857,1.18549,1.18566,109,1,0
2026-02-13 17:57:00,1.18568,1.18569,1.18523,1.18532,122,0,0
2026-02-13 17:58:00,1.18531,1.18531,1.18495,1.18497,139,0,0
2026-02-13 17:59:00,1.18497,1.18499,1.18475,1.18483,132,0,0
2026-02-13 18:00:00,1.18484,1.18497,1.18482,1.18491,143,0,0
2026-02-13 18:01:00,1.18491,1.18505,1.18487,1.18504,95,0,0
2026-02-13 18:02:00,1.18503,1.18516,1.18494,1.18505,133,0,0
2026-02-13 18:03:00,1.18505,1.18519,1.18492,1.18519,126,0,0
2026-02-13 18:04:00,1.18519,1.1853,1.18516,1.18522,87,0,0
2026-02-13 18:05:00,1.18522,1.18526,1.18512,1.18519,53,0,0
2026-02-13 18:06:00,1.18519,1.18543,1.18517,1.18543,75,0,0
2026-02-13 18:07:00,1.18543,1.18546,1.18534,1.18542,63,0,0
2026-02-13 18:08:00,1.18541,1.18547,1.18535,1.18543,88,0,0
2026-02-13 18:09:00,1.18543,1.18545,1.18529,1.18532,62,0,0
2026-02-13 18:10:00,1.18532,1.1855,1.18527,1.18545,94,0,0
2026-02-13 18:11:00,1.18546,1.18556,1.1853799999999999,1.18556,76,0,0
2026-02-13 18:12:00,1.18557,1.18568,1.18555,1.18567,66,0,0
2026-02-13 18:13:00,1.18566,1.18567,1.18553,1.18556,51,0,0
2026-02-13 18:14:00,1.18556,1.18582,1.18556,1.18582,43,0,0
2026-02-13 18:15:00,1.18582,1.18584,1.18569,1.18571,62,0,0
2026-02-13 18:16:00,1.18571,1.18579,1.1857,1.1857,59,0,0
2026-02-13 18:17:00,1.1857,1.18622,1.1857,1.18615,104,0,0
2026-02-13 18:18:00,1.18615,1.18616,1.1859899999999999,1.18602,121,1,0
2026-02-13 18:19:00,1.18602,1.18611,1.18589,1.18608,76,0,0
2026-02-13 18:20:00,1.18608,1.18611,1.18604,1.18607,59,0,0
2026-02-13 18:21:00,1.18608,1.18611,1.18605,1.18611,35,0,0
2026-02-13 18:22:00,1.18611,1.18639,1.18611,1.18639,35,0,0
2026-02-13 18:23:00,1.18639,1.18658,1.18639,1.18649,64,0,0
2026-02-13 18:24:00,1.18652,1.18682,1.18648,1.18682,68,0,0
2026-02-13 18:25:00,1.18682,1.18691,1.18678,1.18685,60,0,0
2026-02-13 18:26:00,1.18685,1.18693,1.1868400000000001,1.1868400000000001,59,0,0
2026-02-13 18:27:00,1.1868400000000001,1.18698,1.18681,1.18695,58,0,0
2026-02-13 18:28:00,1.18695,1.18697,1.18676,1.1869,69,0,0
2026-02-13 18:29:00,1.1869,1.1869,1.18672,1.18681,54,0,0
2026-02-13 18:30:00,1.1868,1.18705,1.18677,1.18701,81,0,0
2026-02-13 18:31:00,1.18701,1.18717,1.1868400000000001,1.18716,72,0,0
2026-02-13 18:32:00,1.18716,1.18734,1.18715,1.18727,91,0,0
2026-02-13 18:33:00,1.18727,1.18731,1.1872,1.18722,82,0,0
2026-02-13 18:34:00,1.1872099999999999,1.1872099999999999,1.18706,1.1872099999999999,61,0,0
2026-02-13 18:35:00,1.1872099999999999,1.18731,1.18719,1.18725,60,0,0
2026-02-13 18:36:00,1.18727,1.18746,1.18727,1.18735,47,0,0
2026-02-13 18:37:00,1.18735,1.18736,1.18714,1.1871800000000001,53,0,0
2026-02-13 18:38:00,1.1871800000000001,1.18724,1.18704,1.1871,52,0,0
2026-02-13 18:39:00,1.18711,1.18715,1.18699,1.18705,59,0,0
2026-02-13 18:40:00,1.18706,1.1871,1.18686,1.18688,79,0,0
2026-02-13 18:41:00,1.18688,1.18707,1.18687,1.1869399999999999,51,0,0
2026-02-13 18:42:00,1.1869399999999999,1.18704,1.18685,1.18688,54,0,0
2026-02-13 18:43:00,1.18688,1.18708,1.18688,1.18704,30,0,0
2026-02-13 18:44:00,1.18704,1.18723,1.18704,1.1872099999999999,32,0,0
2026-02-13 18:45:00,1.1872099999999999,1.18729,1.18717,1.18725,37,0,0
2026-02-13 18:46:00,1.18725,1.18735,1.18724,1.18731,37,0,0
2026-02-13 18:47:00,1.18731,1.18733,1.1869,1.1869399999999999,60,0,0
